"Reference","Value","Datasheet","Description","VendorURL","Vendor","VendorPN","ManufacturerPN","Manufacturer"
"C1","100uF","~","Polarized capacitor, US symbol","https://www.digikey.com/en/products/detail/kyocera-avx/TAJD107M016RNJ/1126847","Digikey","478-3919-1-ND","TAJD107M016RNJ","KYOCERA AVX"
"C2","10uF","~","Polarized capacitor, US symbol","https://www.digikey.com/en/products/detail/kemet/T491C106M025AT7280/3759639?s=N4IgTCBcDaICoBYCcBGAwigDANgLKbAFYBBOAdjAA5MQBdAXyA","Digikey","399-10160-2-ND","T491C106M025AT7280","KEMET"
"C3,C9","1uF","https://search.kemet.com/download/datasheet/C0603C105K4RAC7867","Unpolarized capacitor, small symbol","https://www.digikey.com/en/products/detail/kemet/C0603C105K4RACTU/2199788","Digikey","399-C0603C105K4RACTUCT-ND","C0603C105K4RACTU","KEMET"
"C4,C7,C8","0.1uF","https://search.kemet.com/download/datasheet/C0603C104K5RAC7867,~","CAP CER 0.1UF 50V X7R 0603,Unpolarized capacitor, small symbol","https://www.digikey.com/en/products/detail/kemet/C0603C104K5RACTU/1465594","Digikey","399-C0603C104K5RACTUCT-ND","C0603C104K5RACTU","KEMET"
"C5,C6","0.01uF","https://search.kemet.com/download/datasheet/C0603C103K5RAC7867,~","CAP CER 10000PF 50V X7R 0603,Unpolarized capacitor, small symbol","https://www.digikey.com/en/products/detail/kemet/C0603C103K5RACTU/411090","Digikey","399-C0603C103K5RACTUCT-ND","C0603C103K5RACTU","KEMET"
"Chassis1,P5V1,P5V_{RTN}1,P12V_{RTN}1","TestPoint","~","test point","","","","",""
"D1","PLVA653A_215","https://assets.nexperia.com/documents/data-sheet/PLVA6XXA_SER.pdf","DIODE ZENER 5.3V 250MW TO236AB","https://www.digikey.com/en/products/detail/nexperia-usa-inc/PLVA653A-215/1157604?s=N4IgTCBcDaIAoBkBqBBAbAVgMwoPpgEYMQBdAXyA","Digikey","1727-5168-1-ND","PLVA653A,215","Nexperia USA Inc."
"F1","Fuse","~","Fuse","","","","",""
"J1","618009231221","https://www.we-online.com/components/products/datasheet/618009231221.pdf","CONN D-SUB PLUG 9POS R/A SOLDER","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/618009231221/10484658?s=N4IgTCBcDaIGwEYAcAGFBOMBmBYwJAF0BfIA","Digikey","732-618009231221-ND","618009231221","Würth Elektronik"
"J2,J3,J4,J5,J6,J7","1803471","","TERM BLOCK HDR 7POS 3.81MM","https://www.digikey.com/en/products/detail/phoenix-contact/1803471/260594","Digikey","277-1226-ND","1803471","Phoenix Contact"
"L1,L2","1.5uH","","Power Inductors - SMD 1.5uH Shld 20% 14.6A 4.8mOhms AECQ2","https://www.mouser.com/ProductDetail/Coilcraft/MLC1538-152MLB?qs=zCSbvcPd3pYcVdPOYuyVaA%3D%3D","Mouser","994-MLC1538-152MLB","MLC1538-152MLB","Coilcraft"
"LED1","150060AS75000","150060AS75000","LED AMBER CLEAR 0603 SMD","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/150060AS75000/10468254?s=N4IgTCBcDaIIwFYAMSBsSCCBlA7MlIAugL5A","Digikey","732-150060AS75000CT-ND","150060AS75000","Würth Elektronik"
"M1","SSM3K15AFS_LF","SSM3K15AFS_LF","","MOSFET N-CH 30V 100MA SSM","Digikey","SSM3K15AFSLFCT-ND","SSM3K15AFS,LF","Toshiba Semiconductor and Storage"
"R1","(DNI)","~","Resistor","","","","",""
"R2,R3","49.9k","https://www.vishay.com/docs/28773/crcwce3.pdf","Resistor,Resistor_SMD:R_0603_1608Metric","https://www.digikey.com/en/products/detail/vishay-dale/CRCW060349K9FKEAC/7928411","Digikey","541-3989-1-ND","CRCW060349K9FKEAC","Vishay Dale"
"R4","200","https://www.vishay.com/docs/28773/crcwce3.pdf","RES 200 OHM 1% 1/10W 0603","https://www.digikey.com/en/products/detail/vishay-dale/CRCW0603200RFKEAC/7928457","Digikey","541-4035-1-ND","CRCW0603200RFKEAC","Vishay Dale"
"R5","10","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf","RES SMD 10 OHM 1% 1/8W 0805","https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-6ENF10R0V/110893","Digikey","P10.0CCT-ND","ERJ-6ENF10R0V","Panasonic Electronic Components"
"U1","PDQ10-Q24-S5-D","","DC DC CONVERTER 5V 10W","https://www.digikey.com/en/products/detail/cui-inc/PDQ10-Q24-S5-D/6165206?s=N4IgTCBcDaIAoBECKBGADAWiWALBgygKwYIgC6AvkA","Digikey","102-3865-ND","PDQ10-Q24-S5-D","CUI Inc."
