Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11",CP_EIA-7343-20_Kemet-V,2,100uF,TAJD107K020RNJ
"C10, C14, C16, C18, C21, C22, C4, C7",0603,8,0.1uF,CC0603KRX7R7BB104
"C12, C2",CP_EIA-3216-12_Kemet-S,2,10uF,TAJA106K016RNJ
"C13, C19, C3, C8",0603,4,1uF,TMK107B7105KA-T
"C15, C17, C5, C6",0603,4,0.01uF,CL10B103KB8NNNC
"C20, C9",CP_EIA-3216-10_Kemet-I,2,10uF,T491A106M016AT
"C23, C24",0402,2,1uF,C0402C105K4PACTU
"D1, D2",LED_0AS75000_WRE,2,150060VS75000,150060AS75000
"F1, F2",0154Series_LTF,2,0154002.DR,0154002.DR
"J1, J2, J3",618009231221,3,618009231221,618009231221
"L1, L2, L3, L4",MLC1538-,4,1.5uH,MLC1538-152M
"M1, M2",SSM_TOS,2,SSM3K15AFS_LF,"SSM3K15AFS,LF"
"R1, R5",0805,2,10,PCAN0805E10R0BST5
"R10, R16",0603,2,100k,ERA-3AEB104V
"R11, R17",0603,2,300,RT0603FRE07300RL
"R12, R19",0402,2,10k,ERA-2AEB103X
"R13, R14",0603,2,49.9k,CPF0603F49K9C1
"R15, R20, R9",0603,3,24.9,RNCF0603TKY24R9
R18,0603,1,4.99k,ERA-3AEB4991V
"U1, U2",CONV_PDQ30-Q24-S5-D,2,PDQ10-Q24-S5-D,PDQ30-Q24-S5-D
U3,R_8_ADI,1,LTC2051HV,LTC2051HVCS8#TRPBF
