"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R68,R63,R79";"R_0603_1608Metric";3;"24.9";;;
2;"U7,U12,U15,U11,U8,U9,U14,U13,U4,U6,U10,U5";"INA28x_8SOIC";12;"INA286";;;
3;"C27,C42,C54,C36,C30,C60,C33,C51,C57,C39,C45,C48,C7,C9,C2,C14";"C_0603_1608Metric";16;"1uF";;;
4;"C25,C75,C35,C17,C37,C76,C62,C47,C46,C50,C29,C53,C38,C56,C58,C55,C28,C52,C40,C26,C32,C19,C31,C16,C61,C44,C41,C59,C49,C34,C43,C13,C3,C8,C15,C6,C10";"C_0603_1608Metric";37;"0.1uF";;;
5;"R11,R6,R7,R3,R4,R1,R9,R8,R5,R10,R2,R12";"RES_FCSL20_OHM-L";12;"FCSL20R010FER";;;
6;"R18,R25,R20,R24,R23,R29,R16,R22,R27,R19,R34,R77,R21,R15,R14,R17,R43,R41,R44,R50";"R_0603_1608Metric";20;"49.9";;;
7;"R33,R65,R26,R13,R64,R66,R59,R76,R40,R52,R51";"R_0402_1005Metric";11;"10k";;;
8;"Q1";"ISP281D_ISO";1;"ISP281D";;;
9;"SEC_{RTN}1,TELEM_{-5V}1,TELEM_{RTN}2,TELEM_{RTN}1,SEC_{RTN}2,V_{EN}1,TELEM_{+5V}1";"TestPoint_Keystone_5005-5009_Compact";7;"TestPoint";;;
10;"J13,J5,J3,J14,J11,J12,J10,J6,J9,J4,J8,J7";"CONN_RF2-49B-T-00-50-G-HDW_ADM";12;"RF2-49B-T-00-50-G-HDW";;;
11;"C74,C24,C71";"C_0402_1005Metric";3;"0.1uF";;;
12;"R69";"R_0603_1608Metric";1;"845";;;
13;"R73,R61,R38,R60,R53,R32,R39";"R_0603_1608Metric";7;"10k";;;
14;"R56";"R_0603_1608Metric";1;"196";;;
15;"C20";"CP_EIA-3216-12_Kemet-S";1;"2.2uF";;;
16;"R54";"R_0603_1608Metric";1;"330k";;;
17;"R57,R58";"R_0603_1608Metric";2;"120";;;
18;"U3";"SOT-3_ST_LIT";1;"LT3080EST-PBF";;;
19;"C21,C22,C18";"CP_EIA-2012-12_Kemet-R";3;"1uF";;;
20;"J15";"618009231121";1;"618009231121";;;
21;"P4,P1,P2,P3";"conn1_1-1123824-1_TEC";4;"1-1123824-1";;;
22;"R62,R67,R78";"R_0402_1005Metric";3;"24.9";;;
23;"C63,C72,C73,C64,C69,C68";"C_0402_1005Metric";6;"1uF";;;
24;"M6,M2,M5,M1,M3,M4";"SSM_TOS";6;"SSM3K15AFS_LF";;;
25;"C1,C66";"CP_EIA-7343-20_Kemet-V";2;"100uF";;;
26;"F5,F1";"R_1206_3216Metric";2;"Fuse";;;
27;"D3,D2";"DIOM5436X247N";2;"1SMB5915BT3G";;;
28;"R72";"R_0603_1608Metric";1;"15k";;;
29;"U1,U2";"CONV_PDQ10-Q24-S3-D";2;"PDQ10-Q24-S3-D";;;
30;"C70,C23";"C_0402_1005Metric";2;"0.01uF";;;
31;"J2";"618009231221";1;"618009231221";;;
32;"LED2,LED1";"LED_0AS75000_WRE";2;"150060AS75000";;;
33;"R55";"R_0603_1608Metric";1;"(DNI)";;;
34;"R48,R47";"R_0805_2012Metric";2;"10";;;
35;"U19";"LM337IMPX";1;"LM337IMPX/NOPB";;;
36;"R46,R45";"R_0603_1608Metric";2;"10";;;
37;"U20";"R_8_ADI";1;"AD590JRZ-RL";;;
38;"L9,L10,L1,L2";"MLC1538-";4;"1.5uH";;;
39;"C67,C65";"CP_EIA-3216-12_Kemet-S";2;"10uF";;;
40;"R28,R70";"R_0603_1608Metric";2;"1k";;;
41;"R37";"R_0603_1608Metric";1;"5.97k";;;
42;"U21";"DBV5";1;"SN65LVDS2DBVR";;;
43;"R31,R36";"R_0603_1608Metric";2;"150";;;
44;"R75";"R_0603_1608Metric";1;"8k";;;
45;"U17,U18,U16";"R_8_ADI";3;"LTC2051HVCS5-TRMPBF";;;
46;"R30,R35,R42,R49";"R_0603_1608Metric";4;"100k";;;
47;"U22";"S_5_ADI";1;"LTC2050HVCS5-TRMPBF";;;
48;"R71";"R_0603_1608Metric";1;"180";;;
49;"R74";"R_0603_1608Metric";1;"5k";;;
50;"J1";"BEL_M83513_10-E01CP";1;"M83513/10-E01CP";;;
51;"C4,C12,C11,C5";"C_0603_1608Metric";4;"0.01uF";;;
