"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D1";"SOD-123_ONS-L";1;"MMSZ13T1G (13V Zener)";;;
2;"R2";"R_0603_1608Metric";1;"0.1";;;
3;"C14,C17";"CP_EIA-3216-10_Kemet-I";2;"4.7uF";;;
4;"U4,U2";"SOT-3_ST_LIT";2;"LT3080EST-PBF";;;
5;"R23,R26,R15,R21,R16,R25,R20";"R_0603_1608Metric";7;"24.9";;;
6;"R8,R30";"R_0603_1608Metric";2;"1k";;;
7;"C12,C16";"CP_EIA-3216-10_Kemet-I";2;"1uF";;;
8;"J1";"618009231221";1;"618009231221";;;
9;"C8,C10";"CP_EIA-6032-20_AVX-F";2;"100uF";;;
10;"R9,R11";"R_0603_1608Metric";2;"49.9";;;
11;"R18,R22";"R_0603_1608Metric";2;"10k";;;
12;"C13,C18,C11,C26,C2,C5";"C_0603_1608Metric";6;"0.1uF";;;
13;"C20,C23,C25,C6,C3";"C_0603_1608Metric";5;"1uF";;;
14;"J10";"61300311121";1;"61300311121";;;
15;"U3";"DBV5";1;"SN65LVDS2DBVR";;;
16;"F1";"0154Series_LTF";1;"0154002.DR";;;
17;"J4";"CONN_RF2-49B-T-00-50-G-HDW_ADM";1;"RF2-49B-T-00-50-G-HDW";;;
18;"M2,M1,M3";"SSM_TOS";3;"SSM3K15AFS_LF";;;
19;"R7";"R_0603_1608Metric";1;"835";;;
20;"R14";"RES_FCSL20_OHM-L";1;"FCSL20R010FER";;;
21;"Q1";"ISP281D_ISO";1;"ISP281D";;;
22;"R1";"R_0603_1608Metric";1;"(DNP)";;;
23;"C19,C21,C24,C22,C15";"C_0402_1005Metric";5;"0.1uF";;;
24;"R10";"R_0805_2012Metric";1;"10";;;
25;"U5";"INA28x_8SOIC";1;"INA286";;;
26;"R19,R29";"R_0603_1608Metric";2;"49.9k";;;
27;"C7";"CP_EIA-6032-20_AVX-F";1;"10uF";;;
28;"R13,R12";"R_0603_1608Metric";2;"330k";;;
29;"U6";"R_8_ADI";1;"LTC2051HVCS8#TRPBF";;;
30;"R6";"R_0603_1608Metric";1;"5k";;;
31;"U1";"PDQ30-Q24-S12-D";1;"PDQ30-Q24-S12-D";;;
32;"L2,L1";"LPS6235-822MR";2;"8.2uH (+/- 20%)";;;
33;"R4";"R_0603_1608Metric";1;"15k";;;
34;"R24,R17";"R_0402_1005Metric";2;"10k";;;
35;"J2";"618009231121";1;"618009231121";;;
36;"C9";"CP_EIA-3528-12_Kemet-T";1;"22uF";;;
37;"L3";"MSD1583-105";1;"900uH to 1mH (CM) 2uH Leakage";;;
38;"J3";"691322310003";1;"691322310003";;;
39;"LED1";"LED_0AS75000_WRE";1;"150060AS75000";;;
40;"R5";"R_0603_1608Metric";1;"180";;;
41;"R3";"R_0603_1608Metric";1;"20k";;;
42;"U7";"R_8_ADI";1;"AD590JRZ";;;
43;"R27";"R_0603_1608Metric";1;"200";;;
44;"R28";"R_0603_1608Metric";1;"150k";;;
45;"C1,C4";"C_0603_1608Metric";2;"0.01uF";;;
